time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,26,10,0,0
2026-04-14 00:00:00+00:00,15,6,0,0
2026-04-15 00:00:00+00:00,15,6,0,0
2026-04-16 00:00:00+00:00,14,6,0,0
2026-04-17 00:00:00+00:00,17,4,0,0
2026-04-18 00:00:00+00:00,24,7,0,0
2026-04-19 00:00:00+00:00,37,15,1,1
2026-04-20 00:00:00+00:00,44,17,0,0
2026-04-21 00:00:00+00:00,52,20,0,0
2026-04-22 00:00:00+00:00,76,26,0,0
2026-04-23 00:00:00+00:00,91,27,0,0
2026-04-24 00:00:00+00:00,73,23,0,0
2026-04-25 00:00:00+00:00,39,17,0,0
2026-04-26 00:00:00+00:00,35,11,0,0
