url_path,views_total,views_unique
/Davis-Fan/X-Blossom,17,6
/Davis-Fan/X-Blossom/tree/github-repo-stats/Davis-Fan/X-Blossom,7,2
/Davis-Fan/X-Blossom/tree/github-repo-stats/Davis-Fan/X-Blossom/latest-report,7,2
/Davis-Fan/X-Blossom/tree/github-repo-stats,7,1
/Davis-Fan/X-Blossom/blob/github-repo-stats/Davis-Fan/X-Blossom/latest-report/report.pdf,6,1
/Davis-Fan/X-Blossom/commit/7600e97650873c217a1c397ab51c86428d5f754a,2,2
/Davis-Fan/X-Blossom/commit/main,2,2
/Davis-Fan/X-Blossom/stargazers,2,2
/Davis-Fan/X-Blossom/tags,2,2
/Davis-Fan/X-Blossom/actions,1,1
