time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-16 00:00:00+00:00,23,6,0,0
2026-06-17 00:00:00+00:00,21,7,1,1
2026-06-18 00:00:00+00:00,37,11,0,0
2026-06-19 00:00:00+00:00,26,7,0,0
2026-06-20 00:00:00+00:00,38,9,3,2
2026-06-21 00:00:00+00:00,30,7,0,0
2026-06-22 00:00:00+00:00,36,9,1,1
2026-06-23 00:00:00+00:00,54,14,1,1
2026-06-24 00:00:00+00:00,28,8,0,0
2026-06-25 00:00:00+00:00,14,4,0,0
2026-06-26 00:00:00+00:00,2,2,2,2
2026-06-27 00:00:00+00:00,14,5,0,0
2026-06-28 00:00:00+00:00,20,7,4,2
2026-06-29 00:00:00+00:00,10,5,6,3
